pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
87.96,-81.5,0.0,top,D1,,,LED_D3.0mm_FlatTop,LED,tht
87.96,-86.97,0.0,top,D2,,,LED_D3.0mm_FlatTop,LED,tht
87.96,-92.44,0.0,top,D3,,,LED_D3.0mm_FlatTop,LED,tht
93.65,-80.34,0.0,top,R1,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,R,tht
93.65,-83.49,0.0,top,R2,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,R,tht
93.65,-86.64,0.0,top,R3,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,R,tht
78.085,-59.965,0.0,top,SW1,,,SW_Cherry_MX_1.00u_PCB,SW_Push,tht
78.085,-78.91,0.0,top,SW2,,,SW_Cherry_MX_1.00u_PCB,SW_Push,tht
77.96,-97.92,0.0,top,SW3,,,SW_Cherry_MX_1.00u_PCB,SW_Push,tht
95.88,-65.88,90.0,top,U1,,,XIAO-RP2040-DIP,XIAO-RP2040-DIP,smt
